MECHANISM,SPECIATE_ID,SPECIES,MOLES
CB6R3_AE7,373,IOLE,1
CB6R3_AE7,373,PAR,5
CB6R3_AE7,374,PAR,8
CB6R3_AE7,375,PAR,9
CB6R3_AE7,376,PAR,10
CB6R3_AE7,377,TERP,1
CB6R3_AE7,378,TERP,1
CB6R3_AE7,381,IVOC,1
CB6R3_AE7,382,ALDX,1
CB6R3_AE7,382,OLE,1
CB6R3_AE7,383,IVOC,1
CB6R3_AE7,384,PAR,6
CB6R3_AE7,385,PAR,6
CB6R3_AE7,386,PAR,6
CB6R3_AE7,387,KET,1
CB6R3_AE7,387,PAR,5
CB6R3_AE7,388,IOLE,1
CB6R3_AE7,388,PAR,2
CB6R3_AE7,389,IOLE,0.0016
CB6R3_AE7,389,OLE,0.11
CB6R3_AE7,389,PAR,5.3
CB6R3_AE7,389,TOL,0.098
CB6R3_AE7,389,UNR,1.52
CB6R3_AE7,389,XYLMN,0.074
CB6R3_AE7,390,PAR,5
CB6R3_AE7,391,IOLE,1
CB6R3_AE7,391,PAR,1
CB6R3_AE7,392,TERP,1
CB6R3_AE7,393,NVOL,1
CB6R3_AE7,394,IVOC,1
CB6R3_AE7,395,IVOC,1
CB6R3_AE7,396,IVOC,1
CB6R3_AE7,398,IVOC,1
CB6R3_AE7,399,PAR,1
CB6R3_AE7,399,UNR,5
CB6R3_AE7,400,UNR,1
CB6R3_AE7,401,UNR,1
CB6R3_AE7,402,IVOC,1
CB6R3_AE7,403,PAR,6
CB6R3_AE7,404,PAR,4
CB6R3_AE7,405,PAR,8.5
CB6R3_AE7,405,UNR,1.5
CB6R3_AE7,406,IVOC,1
CB6R3_AE7,407,IVOC,1
CB6R3_AE7,408,PAR,10.5
CB6R3_AE7,408,UNR,0.5
CB6R3_AE7,409,IVOC,1
CB6R3_AE7,410,IVOC,1
CB6R3_AE7,411,KET,1
CB6R3_AE7,411,PAR,8
CB6R3_AE7,412,IVOC,1
CB6R3_AE7,413,IVOC,1
CB6R3_AE7,414,IVOC,1
CB6R3_AE7,415,PAR,3
CB6R3_AE7,416,PAR,5
CB6R3_AE7,417,PAR,2
CB6R3_AE7,418,PAR,2
